"","date","count"
"1",2020-08-19,2
"2",2020-08-20,3
"3",2020-08-21,3
"4",2020-08-22,3
"5",2020-08-23,9
"6",2020-08-24,2
"7",2020-08-25,2
"8",2020-08-26,5
"9",2020-08-27,1
"10",2020-08-28,5
"11",2020-08-29,1
"12",2020-08-30,7
"13",2020-08-31,1
"14",2020-09-01,2
"15",2020-09-02,2
"16",2020-09-03,5
"17",2020-09-04,6
"18",2020-09-05,3
"19",2020-09-06,10
"20",2020-09-07,5
"21",2020-09-08,2
"22",2020-09-09,6
"23",2020-09-10,3
"24",2020-09-11,3
"25",2020-09-12,6
"26",2020-09-13,6
"27",2020-09-14,7
"28",2020-09-15,2
"29",2020-09-16,8
"30",2020-09-17,3
"31",2020-09-18,2
"32",2020-09-19,6
"33",2020-09-20,2
"34",2020-09-21,5
"35",2020-09-22,3
"36",2020-09-23,5
"37",2020-09-24,2
"38",2020-09-25,2
"39",2020-09-26,4
"40",2020-09-27,1
"41",2020-09-28,1
"42",2020-09-29,1
"43",2020-09-30,7
"44",2020-10-02,3
"45",2020-10-03,4
"46",2020-10-04,2
"47",2020-10-05,7
"48",2020-10-06,5
"49",2020-10-07,8
"50",2020-10-08,4
"51",2020-10-09,2
"52",2020-10-10,3
"53",2020-10-11,5
"54",2020-10-12,2
"55",2020-10-13,5
"56",2020-10-14,1
"57",2020-10-15,1
"58",2020-10-16,7
"59",2020-10-17,3
"60",2020-10-18,4
"61",2020-10-20,2
"62",2020-10-21,2
"63",2020-10-22,6
"64",2020-10-23,3
"65",2020-10-24,2
"66",2020-10-25,4
"67",2020-10-26,2
"68",2020-10-27,1
"69",2020-10-28,2
"70",2020-10-29,1
"71",2020-10-30,2
"72",2020-10-31,3
"73",2020-11-01,5
"74",2020-11-02,5
"75",2020-11-03,4
"76",2020-11-04,7
"77",2020-11-05,1
"78",2020-11-06,3
"79",2020-11-07,7
"80",2020-11-08,4
"81",2020-11-09,1
"82",2020-11-10,2
"83",2020-11-11,4
"84",2020-11-12,2
"85",2020-11-13,3
"86",2020-11-14,1
"87",2020-11-15,4
"88",2020-11-16,7
"89",2020-11-17,1
"90",2020-11-18,2
"91",2020-11-19,1
"92",2020-11-20,3
"93",2020-11-21,1
"94",2020-11-22,4
"95",2020-11-23,2
"96",2020-11-25,2
"97",2020-11-26,6
"98",2020-11-27,5
"99",2020-11-28,6
"100",2020-11-29,5
"101",2020-11-30,1
"102",2020-12-01,7
