"","date","count","score","flavor","envir","service","price"
"1",2020-09-07,4,47.5,4.875,4.875,4.875,137.5
"2",2020-09-08,4,42.5,4.375,4.5,4.375,NA
"3",2020-09-09,3,31.6666666666667,3.33333333333333,3.5,3.5,NA
"4",2020-09-10,3,43.3333333333333,4.16666666666667,4.5,4.83333333333333,NA
"5",2020-09-11,6,44.1666666666667,4.41666666666667,4.75,4.5,NA
"6",2020-09-12,4,45,4.5,4.75,4.875,NA
"7",2020-09-13,11,44.0909090909091,4.45454545454545,4.36363636363636,4.72727272727273,NA
"8",2020-09-14,5,45,4.8,4.7,4.9,NA
"9",2020-09-15,3,43.3333333333333,4.5,4.33333333333333,4.5,NA
"10",2020-09-16,5,44,4.5,4.1,4.4,NA
"11",2020-09-17,4,46.25,4.5,4.625,4.625,NA
"12",2020-09-18,1,50,5,5,4.5,NA
"13",2020-09-19,2,45,4.5,4.75,4.75,NA
"14",2020-09-20,10,48,4.75,4.7,4.75,NA
"15",2020-09-21,8,43.75,4.3125,4.5,4.5625,NA
"16",2020-09-22,9,45,4.33333333333333,4.83333333333333,4.77777777777778,NA
"17",2020-09-23,6,47.5,4.83333333333333,4.83333333333333,4.83333333333333,NA
"18",2020-09-24,2,45,4.75,4.25,5,NA
"19",2020-09-25,4,46.25,4.625,4.875,4.875,NA
"20",2020-09-26,13,45,4.5,4.61538461538461,4.61538461538461,NA
"21",2020-09-27,5,45,4.4,4.5,4.5,NA
"22",2020-09-28,4,46.25,4.625,4.625,4.625,NA
"23",2020-09-29,10,47.5,4.8,4.65,4.7,NA
"24",2020-09-30,5,47,4.7,4.7,4.7,NA
"25",2020-10-01,10,48.5,4.85,4.8,4.8,NA
"26",2020-10-02,12,47.5,4.75,4.58333333333333,4.375,NA
"27",2020-10-03,13,41.1538461538462,4.11538461538461,4.76923076923077,4.11538461538461,NA
"28",2020-10-04,12,42.5,4.16666666666667,4.625,4.66666666666667,NA
"29",2020-10-05,22,46.8181818181818,4.70454545454545,4.86363636363636,4.77272727272727,NA
"30",2020-10-06,18,46.9444444444444,4.66666666666667,4.86111111111111,4.75,NA
"31",2020-10-07,24,46.6666666666667,4.52083333333333,4.6875,4.66666666666667,NA
"32",2020-10-08,28,45.7142857142857,4.57142857142857,4.78571428571429,4.69642857142857,NA
"33",2020-10-09,18,47.2222222222222,4.72222222222222,4.88888888888889,4.66666666666667,NA
"34",2020-10-10,22,47.5,4.65909090909091,4.79545454545455,4.72727272727273,NA
"35",2020-10-11,30,47,4.68333333333333,4.88333333333333,4.71666666666667,NA
"36",2020-10-12,12,45.8333333333333,4.54166666666667,4.79166666666667,4.66666666666667,NA
"37",2020-10-13,13,46.5384615384615,4.69230769230769,4.76923076923077,4.65384615384615,NA
"38",2020-10-14,12,47.0833333333333,4.58333333333333,4.75,4.70833333333333,NA
"39",2020-10-15,3,46.6666666666667,4.5,4.83333333333333,4.83333333333333,NA
"40",2020-10-16,11,46.3636363636364,4.5,4.81818181818182,4.63636363636364,NA
"41",2020-10-17,14,45.3571428571429,4.57142857142857,4.78571428571429,4.42857142857143,NA
