店铺ID,店铺名称,同类排名,热度,种类编码,种类名称,收藏量,浏览量,附近商家数,人均消费,省份,城市,区域,地址,经度,维度,是否有团购,团购名称,团购价格
6650988621471959053,金掌勺东北菜(悠唐购物中心店),1,16100869.0,10106,美食;中式餐饮;东北菜,1076,423808.0,0.0,78,北京市,北京市,朝阳区,北京市朝阳区三丰北里2号楼05层05-501内515号,116.432859,39.920115,1,金掌勺18分店通用！139抢价值270的双人餐，称霸各大榜单的锅包肉，热菜凉菜甜品主食一样不少，俩人吃不完！,139.0
6906238106190481412,王渔王得莫利豆粉鱼,2,2120129.0,10106,美食;中式餐饮;东北菜,9149,877002.0,1091.0,118,北京市,北京市,朝阳区,北京市朝阳区霄云路15号-12(前街),116.460656,39.95967,1,五一活动2-3人招牌得莫利炖鱼套餐,238.0
6773545735876069383,杨记铁锅炖鱼粘卷子(新中街店),3,954972.0,10106,美食;中式餐饮;东北菜,17785,3947913.0,60.0,86,北京市,北京市,密云区,北京市密云区新中街179号楼7号,116.845945,40.366877,1,力荐超值3~4人嘎鱼套餐,288.0
6601132277147633668,燕郊烧鸽子(和众店),4,866351.0,10106,美食;中式餐饮;东北菜,7263,20964132.0,607.0,111,北京市,北京市,朝阳区,北京市朝阳区北京东四环中路16号和众汽车运输集团内(窑洼湖桥东北),116.484883,39.882359,1,100元代金券,95.0
6688899323041744900,鑫馥晟铁锅炖,5,644787.0,10106,美食;中式餐饮;东北菜,7050,1885590.0,88.0,76,北京市,北京市,丰台区,北京市丰台区丰葆路富锦嘉园一区六圈菜市场北门,116.281218,39.817669,0,,
6832095257245665293,呱呱铁锅炖,6,596092.0,10106,美食;中式餐饮;东北菜,2398,2244189.0,758.0,106,北京市,北京市,朝阳区,北京市朝阳区惠新西里248号,116.415271,39.975937,1,大鹅锅套餐,268.0
6636196596218415107,金掌勺东北菜(龙域万科店),7,273766.0,10106,美食;中式餐饮;东北菜,1376,229392.0,81.0,79,北京市,北京市,昌平区,北京市昌平区回龙观镇龙域中街1号院1号楼回龙观万科商场4层L4015号-L4017号,116.310416,40.065061,1,【18分店通用】东北菜扛把子！319抢价值585的4-6人餐，人均50吃正宗东北菜！,319.0
6749363404030347268,家在东北锦州烧烤,8,273626.0,10106,美食;中式餐饮;东北菜,5692,2898957.0,196.0,96,北京市,北京市,丰台区,北京市丰台区宋庄路与金桥东街交叉路口往北约200米(顶秀欣园-东苑西北侧),116.422513,39.837156,0,,
6881229046684960781,鸽王小馆(鲁谷店),9,241829.0,10106,美食;中式餐饮;东北菜,1603,168150.0,138.0,78,北京市,北京市,石景山区,北京市石景山区鲁谷大街重兴嘉园4号楼2层202,116.225002,39.889661,0,,
6601145023054481422,金掌勺东北菜(车站路店),10,234473.0,10106,美食;中式餐饮;东北菜,1202,4146706.0,137.0,68,北京市,北京市,通州区,北京市通州区车站路41号,116.656379,39.903953,0,,
